complication_id,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
2020045,20,2004,1,中度支气管塌陷,0.4,0.75,呼吸费力伴咳血丝，握拳抵胸缓解,坐起身时一侧胸口马上闷得慌，深呼一口气感觉那一块支气管一下子瘪下去再勉强撑开,一换姿势胸里某一截像被折叠起来，一动就要喘几口才能缓过来,动态 MRI,呼气期塌陷明显，显示支气管腔机能已明显紊乱,管壁弹性好，暂未见支气管腔量化异常但症状持续,本次动态 MRI 未见典型塌陷，但同支气管段呼气期腔径轻度改变，提示轻度位置性受压,本次检查未示典型塌陷，却显示近端支气管在呼气期中度缩窄，提示中度动态性气道狭窄,本次动态 MRI 未见单支气管塌陷，而是发现多段支气管在呼气期重度闭合，提示重度弥漫性气道塌陷,支架支撑 + 肺康复,0
2020049,20,2004,2,主支气管源石环堵,1.0,1.1,单侧胸廓塌陷感明显，呼吸动作艰难,现在一侧胸口完全像被封死，那半边几乎吸不进去气，整个人只能靠另一侧胸口拼命起伏,只觉得这一侧肺像被金属箍死了，怎么喘那一边都不动，只能靠另一侧硬撑,3D 打印导向 + 硬镜,晶体环封堵80%，证实支气管腔急性受损需高度警惕,气道开放，结果阴性却与支气管腔危象临床不符,本次检查未示典型源石环堵，但受压侧主支气管轻度外形受挤，提示轻度胸腔容积性病变,本次硬镜未见典型源石环体，却显示主支气管中段中度纤维性狭窄，提示中度慢性狭窄病变,本次 3D 导向及硬镜未见源石环堵，而是发现主支气管远端重度塌陷并与广泛肺不张相连，提示重度近端气道阻塞,术中硬镜切除环体 + 重建支架 + 感染抑制剂 23 号,1
2020051,20,2005,0,轻度肺上叶通气不均,0.35,0.3,爬楼后轻喘并压住上胸，嘴唇略干,上楼一小段就会觉得左上胸这块先发紧，气短主要集中在上方这一角，停下来休息就缓过来,一运动胸口上面那一块总觉得提不上气，好像上面那格肺用不上力,肺功能 + CT,局部通气比例下降，提示肺上叶功能轻度偏离,通气正常，与肺上叶常规范围一致，需结合动态观察,本次检查未示典型通气不均，但肺上叶小血管纹理略粗，提示轻度灌注改变,本次肺功+CT 未见目标通气异常，却发现同叶部分支气管腔中度变窄，提示中度气道性通气受限,本次检查未见局限通气不均，而是显示对侧肺上叶重度过度充气，提示重度代偿性气体分布异常,呼吸训练 + 低剂量类固醇,0
2020052,20,2005,0,轻度肺泡炎,0.33,0.35,胸廓起伏尚匀仅轻喘,这几天偶尔干咳，吸气到上胸深处时有一点轻微刺痛，好像那一小片肺泡有点发炎,就觉得上胸里面有一小块像感冒没完全好，一吸气就有那么一丝钝痛,CT,斑片磨玻璃影，提示肺上叶功能轻度偏离，需结合体征判断,影像清晰，与肺上叶常规范围一致，需结合动态观察,本次 CT 未见典型轻度肺泡炎斑片，但局部间质轻度增厚，提示轻度间质性改变,本次 CT 未示局限肺泡炎，却发现肺上叶后段中度索条影，提示中度纤维条索形成,本次 CT 未见局部磨玻璃影，而是发现上叶尖后段大片实变，提示重度肺炎性实变,抗炎药 + 休息,0
2020053,20,2005,0,轻度肺毛细血管渗漏,0.32,0.4,爬楼后轻喘并压住上胸，嘴唇略干,活动稍微一多就觉得上胸里有点发胀闷，躺下休息一会儿就会慢慢缓解,一累起来胸口上面那块就像被水泡着涨涨的，停下来歇会儿就好,彩超,肺循环回声增强，提示肺上叶功能轻度偏离，需结合体征判断,回声正常，与肺上叶常规范围一致，需结合动态观察,本次彩超未见典型渗漏征象，但局部肺静脉流速轻度迟缓，提示轻度回流障碍,本次检查未示明确渗漏，却显示肺动脉压中度升高，提示中度肺动脉高压相关病变,本次彩超未见局灶渗漏，而是发现同肺叶静脉重度回流受阻伴心功能受损，提示重度肺循环障碍,利尿药 + 氧疗,0
2020054,20,2005,1,中度肺上叶结晶斑,0.6,0.65,胸口抱紧表达疼痛，呼吸幅度减小,上胸固定某一小块会持续隐痛，深呼吸时那一块像有硬斑被拉扯，疼会放射到同侧肩膀,胸口上面有一小块像被镶了一片硬壳，伸懒腰或者深吸气时就被那块牵得直皱眉,高分辨 CT,斑块伴纤维拉拢，显示肺上叶机能已明显紊乱,组织均匀，暂未见肺上叶量化异常但症状持续,本次 CT 未见典型结晶斑，但同叶胸膜下可见轻度线样影，提示轻度胸膜黏连,本次高分辨 CT 未示结晶斑，却显示上叶后段中度斑片状纤维灶，提示中度瘢痕性病变,本次 CT 未见局限结晶斑，而是发现大片块状高密度病灶伴支气管牵拉，提示重度纤维板样改变,住院 + 感染抑制剂 22 号 + 控制性理疗,0
2020055,20,2005,1,中度肺上叶塌陷,0.4,0.75,胸口抱紧表达疼痛，呼吸幅度减小,平躺时上胸那一块会明显闷痛加重，翻身或坐起能感觉那一片肺慢慢张开一点才好受,一躺平就觉得上胸有一大块被压扁了，翻个身或者坐起来才能把那块“撑”回来一点,MRI + 肺功能,局部通气停滞，显示肺上叶机能已明显紊乱，需结合体征判断,通气完整，暂未见肺上叶量化异常但症状持续,本次 MRI 未见典型局部塌陷，但上叶尖段肺容积轻度减小，提示轻度局灶性萎陷,本次检查未示典型肺上叶塌陷，却显示同叶段支气管中度阻塞伴远端轻度不张，提示中度阻塞性改变,本次 MRI+肺功未显示局灶塌陷，而是发现对侧肺叶重度过度膨胀伴纵隔移位，提示重度不平衡通气,支气管镜支撑 + 抗炎,0
2020059,20,2005,2,肺上叶源石纤维板,1.0,1.1,明显气促唇紫，需半坐位才能讲话,现在只要一平躺上胸就像被一整块硬板压着，吸气只能浅浅地在那一小层里打转，往下根本扩不开,只感觉上胸那里像被一整片石板封死了，怎么换姿势那块都不动，气只能在外圈打圈,3D CT + 胸腔镜,晶体板卡死肺叶，证实肺上叶急性受损需高度警惕,肺叶弹性正常，结果阴性却与肺上叶危象临床不符,本次 3D CT 未见典型源石板，但肺上叶胸膜下轻度增厚，提示轻度胸膜纤维化,本次检查未示典型源石纤维板，却发现同叶大片中度胸膜增厚伴局部牵拉，提示中度胸膜性限制通气,本次 3D CT 未见局限晶体板，而是发现上叶弥漫性重度胸膜增厚伴肺体积明显缩小，提示重度胸膜性致缩肺,胸腔镜切除板块 + 肺叶成形 + 感染抑制剂 23 号,1
2020061,20,2006,0,轻度肺下叶滞血,0.35,0.3,傍晚出现轻踝肿伴叹气，坐姿略蜷,傍晚时会觉得下胸和背后这一带有点闷胀，稍微走远一点就要停下来喘一口,一到晚上就觉得下面那块肺和脚踝一起涨起来，整个人像被水灌得沉,胸部彩超,肺静脉流速减慢，提示肺下叶功能轻度偏离，需结合体征判断,流速正常，与肺下叶常规范围一致，需结合动态观察,本次彩超未见典型滞血表现，但局部肺静脉径略增粗，提示轻度回流受限,本次检查未示明确滞血，却显示下肺叶静脉中度流速下降，提示中度静脉淤血改变,本次彩超未见局灶滞血，而是发现下肺静脉重度回流障碍合并心功能明显减退，提示重度肺循环拥血,利尿药 + 循环改善,0
2020062,20,2006,0,轻度肺下叶炎性渗出,0.33,0.35,傍晚出现轻踝肿伴叹气，坐姿略蜷,稍微发点低烧，下胸后这一块吸气时有点隐隐发痛，偶尔会咳出一点黄痰,就觉得最近像小感冒老赖在下胸那块，一吸气那一侧背后总有点酸酸的,CT,片状磨玻璃影，提示肺下叶功能轻度偏离，需结合体征判断,肺纹理清晰，与肺下叶常规范围一致，需结合动态观察,本次 CT 未见典型炎性渗出斑片，但下叶间隔轻度增厚，提示轻度间质水肿,本次 CT 未示局限炎性渗出，却发现同侧基底段中度条索浸润影，提示中度肺炎性改变,本次 CT 未见轻微磨玻璃影，而是发现下叶大片密度增高合并支气管内空气影，提示重度肺炎实变,抗炎药 + 水化,0
2020063,20,2006,0,轻度肺下叶支气管痉挛,0.32,0.4,胸廓下段轻度沉重,夜里睡着睡着会被一阵胸口下方的喘鸣吵醒，深呼气到那一块时会突然发紧想咳,晚上总觉得下面那截肺“管子”会抽一下，翻身或起床走两步才慢慢松开,肺功能,夜间峰流速下降，提示肺下叶功能轻度偏离，需结合体征判断,指标正常，与肺下叶常规范围一致，需结合动态观察,本次肺功能未示典型下叶支气管痉挛，但小气道阻力轻度波动，提示轻度远端气道高反应,本次检查未见明确痉挛，却显示下叶通气储备中度下降，提示中度局部气道阻塞,本次肺功未见孤立痉挛，而是发现整体通气严重受限伴残气显著增加，提示重度弥漫性阻塞改变,吸入解痉剂,0
2020064,20,2006,1,中度肺下叶栓塞,0.6,0.65,呼吸夹杂胸痛表情严肃，偶扶住腰背,走路走快一点就突然下胸某一点像被针扎一样疼，气也跟着一下上不来，需要立刻停下缓口气,稍微一用力就觉得下面那块肺被戳破了一样，疼得只能扶着腰慢慢喘,CTPA,亚段充盈缺损，显示肺下叶机能已明显紊乱，需结合体征判断,血流通畅，暂未见肺下叶量化异常但症状持续,本次 CTPA 未示典型栓塞灶，但下叶分支血管一处轻度边缘不规则，提示轻度血流紊乱,本次检查未见明确栓塞，却显示下叶基底段血流中度减低，提示中度灌注缺损,本次 CTPA 未示局限栓塞，而是发现下肺叶多支血管重度充盈缺损，提示重度肺动脉多发栓塞,抗凝 + 感染抑制剂 22 号,0
2020065,20,2006,1,中度肺下叶纤支黏连,0.4,0.75,呼吸夹杂胸痛表情严肃，偶扶住腰背,这段时间低头咳嗽能咳出成块稍硬的痰，咳的时候下胸一小块会被牵扯得很痛,总觉得下面那块肺里黏着一块东西，咳出来一嘴痰还是觉得里面有块“筋”牵着不舒服,高分辨 CT,纤维索条牵拉支气管，显示肺下叶机能已明显紊乱,纹理正常，暂未见肺下叶量化异常但症状持续,本次 CT 未见典型纤支黏连，但下叶胸膜下轻度线样影，提示轻度局限性纤维条索,本次高分辨 CT 未示目标黏连，却发现同叶多发中度索条影，提示中度支气管周围纤维化,本次 CT 未见单一纤支黏连，而是发现大片条索牵拉伴肺体积显著缩小，提示重度纤维性致缩肺,纤支镜黏连松解 + 抗炎,0
2020069,20,2006,2,肺下叶广泛源石融合,1.0,1.1,面色灰暗伴紫绀，呼吸急促近乎喘鸣,现在整片下胸仿佛被一整块硬壳包住，吸气只能停在上面，下方那块完全跟不上扩张,只觉得下面那块肺已经变成沉重的石头，呼吸时整块往上拖着心口一起往下坠,3D CT + 术中超声,晶体填充肺段，血流断，证实肺下叶急性受损需高度警惕,组织弹性好，结果阴性却与肺下叶危象临床不符,本次 3D CT 未示典型源石融合，但下叶基底段胸膜轻度增厚，提示轻度局灶性胸膜改变,本次检查未见目标融合灶，却发现下叶大范围中度实变合并支气管充气征，提示中度肺炎样病变,本次 3D CT 未见局限晶体融合，而是发现下叶弥漫性实变伴明显体积缩小和胸膜牵拉，提示重度纤维化重构,开胸部分切除 + 源石板剥离 + 感染抑制剂 23 号,1
3030011,30,3001,0,轻度左心房扩张倾向,0.35,0.3,偶抚心前区并短暂屏气，面色尚平,最近活动多了以后心前区会一阵一阵跳得厉害，像左边心房这块有点撑开发胀，憋闷主要集中在胸骨左后方，平躺时会更明显但休息一会儿就缓过来,就觉得心口有点鼓鼓的、有时候一跳一跳不舒服，说不清是在心脏哪个地方，就是胸这边不太对劲儿,心脏超声,左房直径增加2mm，提示左心房功能轻度偏离,尺寸正常，与左心房常规范围一致，需结合动态观察,本次超声未见左心房明显形态改变，但提示左心耳区有轻度血流旋涡，为左心房轻症水平的其他功能异常,本次超声未见左心房扩张，但发现左心耳有中度自发对比回声，提示存在中度血流异常,本次超声未见左心房扩张，却发现左心房后壁有明显活动度下降和重度自发对比信号，提示重度充血与瘀滞,控盐 + β 受体阻滞剂,0
3030012,30,3001,0,轻度房性早搏,0.33,0.35,心前区平稳偶按胸,这段时间总觉得心口突然多跳一下或者漏一拍似的，位置主要在左心房那一块，好像一阵阵短促的乱跳，发作时会轻微心慌但很快自己就恢复,就觉得心里一抖一跳、偶尔像被吓一跳一样，说不上来是心房还是心室的问题，就是偶尔心口乱一下,24h 动态心电,房早<5%，提示左心房功能轻度偏离，需结合体征判断,心电平稳，与左心房常规范围一致，需结合动态观察,本次动态心电未记录到典型房性早搏，但提示左心房起源有轻度短阵性上速，为左心房轻症程度的其他节律异常,本次动态心电未见房早发作，但左房区出现成簇房性期前收缩，负荷已达中度异常水平,本次动态心电未见房早，却记录到来源于左心房的短阵房扑/房颤，提示存在重度节律失常风险,口服稳心药 + 休息,0
3030013,30,3001,0,轻度左房血栓风险,0.32,0.4,偶抚心前区并短暂屏气，面色尚平,久坐久站之后总觉得胸口左后方发闷，像左心房那块血液堵了一下似的，闷的时候会往左肩和腋下放射，但走动几圈就会慢慢缓解,就说胸里有股闷气堵着，像有东西黏在心口一样，有时候还说是“一团气卡在胸里”，却说不清具体是左心房还是别的地方,斜射超声 + D-二聚体,左房涡流+指标略高，提示左心房功能轻度偏离,无涡流，与左心房常规范围一致，需结合动态观察,本次检查未见左心房内血栓信号，但在左心耳内发现轻度自发对比回声，为左心房轻度高凝和瘀滞表现,本次检查未见明确左房血栓形成，但提示左心耳充盈不全及中度血流减速，为中等程度的左房瘀滞异常,本次检查未检出典型血栓影，却发现左心房后壁邻近区域存在重度血流停滞区，为重度高危瘀滞状态,抗凝小剂量 + 活动处方,0
3030014,30,3001,1,中度左心房结晶附着,0.6,0.65,胸前紧抱伴轻度气促，额头见汗,最近一阵胸前发紧像被圈住一样难以舒展，紧绷感主要集中在左心房这一带，有时候会一直放射到左肩和后背，憋闷和气短能持续好几分钟才缓解,总说胸口被什么东西挂住了，一会儿说是“心被吊着”，一会儿又指着整块胸都不舒服，很难具体指明是左心房哪一块出问题,经食管超声,附着晶体随心动摆动，显示左心房机能已明显紊乱,内壁光滑，暂未见左心房量化异常但症状持续,本次经食管超声未见明确结晶附着，但在左心耳缘可见片状轻度回声增强，提示存在左心房轻度结构性改变,本次经食管超声未见典型附着灶，却发现左心房后壁增厚及中度回声不均，为左心房中度纤维化样异常,本次经食管超声未检出结晶，但左心房顶部及左心耳呈广泛高回声团块影，提示重度结构异常并高度可疑其他病变,住院抗凝 + 感染抑制剂 22 号,0
3030015,30,3001,1,中度左房心律失常,0.4,0.75,胸前紧抱伴轻度气促，额头见汗,平躺或走几步就觉得心口这里突然一阵乱跳，位置偏左心房区域，心慌时会顺着左臂往下串，整个人像被掏空一样没力气,老说心在胸口乱成一团，一会儿说像“鼓在胸口乱敲”，一会儿又说是整片胸膛一起乱，不太能分清是左心房还是整颗心出问题,动态心电 + 心功能,房颤负荷20%，显示左心房机能已明显紊乱,节律整齐，暂未见左心房量化异常但症状持续,本次检查未记录到持续性房颤，但提示左心房起源有轻度频发房性早搏和短阵房速，为左心房轻度电活动异常,本次检查未见持续房颤，但出现中度负荷的成簇房速及心房扑动，为中度心房节律紊乱,本次检查虽未持续显示房颤波，但左心房区出现长时间快速紊乱波形，提示重度心房电不稳定状态,电复律 + 抗凝,0
3030019,30,3001,2,左心房源石瓣膜缠绕,1.0,1.1,端坐呼吸双手按胸，唇色发绀,一平躺就憋得厉害，只能端坐着用手死死按住胸口，感觉左心房那一块像被东西卡住，气喘不过来时说胸口就是这一小块在拉扯得撕心裂肺,只会说“心口这块要炸开了”，一会儿指中间、一会儿指左边，甚至会说整个人胸腔都被缠住了，痛感难以准确说明出自左心房,3D 超声 + 术中 TEE,晶体限制瓣叶运动，证实左心房急性受损需高度警惕,瓣膜活动自如，结果阴性却与左心房危象临床不符,本次成像未见晶体缠绕瓣膜，但在左心耳内可见大片致密回声团，为左心房轻度至中度栓塞样其他异常,本次成像未见典型瓣膜缠绕，却发现左心房后壁贴壁血栓及中度瓣环钙化，为中度严重的结构异常,本次成像虽未显示瓣叶被源石直接缠绕，但左心房顶端可见巨大团块影与瓣环严重钙化，提示重度危及血流通路的结构异常,体外循环下晶体剥离 + 瓣膜成形 + 感染抑制剂 23 号,1
3030021,30,3002,0,轻度左室肥厚前兆,0.35,0.3,运动后胸闷即停下捂胸，表情轻皱,最近跑楼梯或者快走几分钟，胸骨左下一块就会发紧发闷，感觉像左心室那块肌肉变厚了出力很重，喘几口粗气停下来休息一下才好,就说“心口这块用劲儿太足”，有时候形容像心肌被撑大了，但也会指着整个胸前说难受，具体是不是左心室位置本人说不太清楚,心脏超声,室间隔+1mm，提示左心室功能轻度偏离，需结合体征判断,壁厚正常，与左心室常规范围一致，需结合动态观察,本次超声未见左心室明显肥厚，但提示心尖部左心室收缩轻度减弱，为左心室轻症程度的收缩异常,本次超声未检出肥厚改变，却发现左心室后壁中度增厚和舒张功能减退，为中度舒张功能异常,本次超声虽未表现典型肥厚，但左心室整体收缩分数下降并合并重度局灶运动异常，提示重度心肌受累,降压药 + 运动限制,0
3030022,30,3002,0,轻度收缩功能下降,0.33,0.35,前胸轻按仍可对答,最近只要稍微快走一点或者上两层楼，胸骨偏左下方这块就觉得发空发软，好像左心室打不出以前那么多血，心慌时会觉得整只左臂发酸但停下来很快就缓解,就说一累起来“心没劲儿、提不上力”，有时候形容心一下子软下去了，但也说不清到底是左心室还是整体体力差,BNP + 超声,LVEF下降至55%，提示左心室功能轻度偏离,LVEF60%+，与左心室常规范围一致，需结合动态观察,本次检查未见明显收缩分数下降，但提示左心室有轻度舒张功能减弱，为左心室轻度顺应性异常,本次检查未见目标性收缩减弱，却发现左心室局部壁运动中度减低，为中度局灶运动障碍,本次检查虽未达典型心衰标准，但显左心室多个节段运动严重不良伴BNP显著升高，提示重度收缩储备不足,ACEI + 有氧训练,0
3030023,30,3002,0,轻度左室供血不足,0.32,0.4,运动后胸闷即停下捂胸，表情轻皱,快走几分钟或者爬一层楼，胸骨左下那一小块就会针扎样隐隐疼，位置偏左心室前壁，疼痛往左臂和下颌放射，停下来休息几分钟就能缓解,只说胸口有点抽疼，心里像被揪了一下，有时说是“左边这块有点抽筋”，有时又形容是整片胸前都不对劲,运动心电,ST轻度压低，提示左心室功能轻度偏离，需结合体征判断,曲线平直，与左心室常规范围一致，需结合动态观察,本次运动试验未出现左心室缺血型改变，但在较低负荷时提示心率恢复延迟，为左心室轻度储备能力下降的其他异常,本次运动试验未示典型缺血，却发现中度负荷时左心室心率—血压乘积异常升高，为中度心肌耗氧失衡,本次运动试验虽未出现典型ST压低，但负荷后恢复阶段出现明显心率持续升高和血压波动，提示重度心肌功能代偿不全,抗缺血药 + 生活干预,0
3030024,30,3002,1,中度左室壁结晶,0.6,0.65,走几步即支撑墙壁，面色发白汗湿,平路走上几十米胸骨偏左下方就会绞痛，能清楚说出疼痛是沿着左心室前壁往左肩和背后放射，疼痛持续几分钟以上并伴随出汗和呼吸变浅,总说是“整个左边胸腔被石头压住了”，一会儿指前胸，一会儿又说背后也痛，说不上来具体是哪块左心室在受压，只觉得胸里一大块都不对劲,延迟增强 MRI,晶体沉积区无灌注，显示左心室机能已明显紊乱,壁深均匀，暂未见左心室量化异常但症状持续,本次MRI未见明确结晶沉积区，但左心室心尖部可见轻度延迟强化，为左心室轻度瘢痕样改变,本次MRI未示典型结晶病灶，却发现左心室中隔中度延迟强化，为中度纤维化或陈旧性损害表现,本次MRI虽未显示大块结晶沉积，但左心室广泛斑片状强烈延迟强化，提示重度弥漫性心肌损伤,住院 + 感染抑制剂 22 号 + 监护,0
3030025,30,3002,1,中度左室收缩不全,0.4,0.75,走几步即支撑墙壁，面色发白汗湿,这阵子只要平地走几分钟就会胸闷气短，感觉胸骨左下方那一大片左心室像打不出力，憋得上不来气，还会往左侧肋缘和背部酸沉放射,就说“一动就觉得心提不起来”，有时候形容整个胸腔像装了半桶水摇晃，难以分清是左心室本身没力气还是全身虚弱,心超 + NT-proBNP,EF明显降低，BNP高，显示左心室机能已明显紊乱,功能正常，暂未见左心室量化异常但症状持续,本次检查未见EF明显下降，但提示左心室轻度舒张末压升高，为轻度充盈压异常,本次检查未达典型收缩不全范围，却发现左心室局灶壁运动中度异常和中度BNP升高，为中度心功能受损表现,本次检查虽未符合典型心衰分级标准，但左心室整体收缩储备明显下降并伴高级别BNP升高，提示重度潜在泵衰竭风险,强心药 + 利尿,0
3030029,30,3002,2,左室腔源石板块,1.0,1.1,持续抱胸弯腰，呼吸急促难以躺平,这次胸痛像有一大块硬板卡在左心室腔里，从胸骨左下一直疼到心尖位置，痛感钝重又绞扯，往左臂和背部持续放射，坐着不动也喘不过气来,只会说“心窝这块像被砖头压住了”，一会儿指着正中胸、一会儿指着左边肋缘，感觉整块心都被堵住，具体是不是左心室腔的问题难以清晰表达,术中经食管超声 + 直视,晶板限制室壁收缩，证实左心室急性受损需高度警惕,收缩良好，结果阴性却与左心室危象临床不符,本次术中探查未见典型源石板块，但在左心室腔内可见小片附壁血栓和轻度内膜粗糙，为左心室轻度其他腔内异常,本次术中检查未发现大块板块，却提示左心室腔内中度机化血栓及内膜剥脱，为中度严重的腔内病变,本次术中虽未直视到完整板块样结构，但左心室流出道可见大片脱落组织和重度内膜破坏，提示重度危及流出道的其他异常,体外循环切除晶板 + 心肌重建 + 感染抑制剂 23 号,1
3030031,30,3003,0,轻度主动脉弹性下降,0.35,0.3,胸背肌肉略紧,站着一会儿就觉得胸骨柄到胸口中间这条大血管跳得又硬又直，脉搏在颈部和胸前都能明显感觉到，尤其是上楼或紧张时主动脉那一段会有胀硬感,就说最近脉搏跳得“顶得慌”，有时候形容是整个胸口的血管都在硬邦邦地跳，却说不清是不是主动脉本身的问题,脉搏波分析,传播速度升高，提示主动脉功能轻度偏离，需结合体征判断,速度正常，与主动脉常规范围一致，需结合动态观察,本次检测未见脉搏波速度明显增快，但提示主动脉轻度反射波增强，为主动脉轻度顺应性改变,本次检测未显示典型弹性下降，却发现主动脉中段波形有中度反射波重叠，为中度血管僵硬表现,本次检测虽未见传播速度显著异常，但主动脉近端波形呈重度高峰短时脉冲，提示重度收缩期负荷异常,生活干预 + 抗高压,0
3030032,30,3003,0,轻度主动脉壁钙化,0.33,0.35,胸骨柄偶按诉酸痛，站姿稍僵,偶尔会觉得胸骨上端这一截像被什么点着似的酸痛，能感觉到是在靠近主动脉弓的位置，久站或搬重物后疼得更明显但休息能缓过来,就说“这块骨头里面有点硬邦邦的酸”，有时说是锁骨到胸前这一整片都在痛，搞不清到底是骨头还是主动脉出问题,CT,壁上散在高密度，提示主动脉功能轻度偏离，需结合体征判断,壁光滑，与主动脉常规范围一致，需结合动态观察,本次CT未见明显弓段钙化，但在主动脉降段可见轻度点状高密度影，为主动脉轻度退行性改变,本次CT未示壁面散在钙化，却发现主动脉腹段中度斑块形成和壁稍增厚，为中度粥样硬化表现,本次CT虽未见典型点片状钙化，但主动脉根部可见环形高度密度影伴管腔狭窄，提示重度硬化性病变,抗钙化药 + 饮食控盐,0
3030033,30,3003,0,轻度主动脉炎,0.32,0.4,胸背肌肉略紧,这段时间总觉得胸骨柄靠里的那条大血管隐隐酸痛，疼痛沿着主动脉走向往背中部放射，还会伴有低热和乏力，按压胸前正中时能比较明确定位到那一条管子,只说“胸口正中这道像筋一样的地方酸酸的”，有时干脆说是整块胸背都在痛，分不清是肌肉还是血管在疼,ESR + PET,炎症信号轻升，提示主动脉功能轻度偏离，需结合体征判断,信号平，与主动脉常规范围一致，需结合动态观察,本次检查未示主动脉壁炎症明显增强，但在主动脉起始段可见轻度代谢增高，为轻度炎性改变,本次检查未见典型大动脉炎表现，却发现主动脉腹段中度代谢增高，为中度节段性炎性改变,本次检查虽未在弓段发现典型炎性高代谢，但主动脉多节段呈弥漫性显著代谢增高，提示重度活动性血管炎,抗炎药 + 休息,0
3030034,30,3003,1,中度主动脉结晶斑,0.6,0.65,胸背像被勒住般紧抱肩部，眉头紧锁,近期胸骨后一直有一条绞着的钝痛，能清楚说出疼痛沿主动脉弓往颈部和背部放射，尤其是活动后会觉得这一段血管被什么硬块顶住，呼吸稍深就更明显,总说“前胸这条大血管像被石头刮着”，一会儿指胸口、一会儿指脖子或后背，说的是一整圈都难受，具体是哪段主动脉受累就说不明白,CTA,斑块突出内腔，显示主动脉机能已明显紊乱，需结合体征判断,管腔通畅，暂未见主动脉量化异常但症状持续,本次CTA未见弓段明显结晶斑，但在主动脉降段可见轻度非钙化斑块，为轻度局灶性粥样改变,本次CTA未发现目标部位典型结晶斑，却显示主动脉腹段和髂段存在中度偏心斑块，为中度多发粥样硬化,本次CTA虽未在弓段看到大块结晶斑，但主动脉全程可见多发重度狭窄性斑块，提示重度系统性动脉粥样硬化,住院 + 感染抑制剂 22 号 + 血脂管理,0
3030035,30,3003,1,中度主动脉夹层前兆,0.4,0.75,胸背像被勒住般紧抱肩部，眉头紧锁,突发从胸骨后一直撕裂样疼到背中线，能说出疼痛沿主动脉弓向下撕开一样往腰背放射，深呼吸或轻微转身都会让这条疼痛轨迹更清晰,老说“从前胸到后背像被刀划了一道缝”，有时候又说是整块上半身都在裂，形容得很夸张却很难精确指出是顺着主动脉走向的疼痛,CTA,内膜双腔影，显示主动脉机能已明显紊乱，需结合体征判断,壁完整，暂未见主动脉量化异常但症状持续，需结合动态观察,本次CTA未见明确双腔影，但在升主动脉壁可见轻度内膜不规则及轻度壁内血肿，为轻度壁层受损的其他异常,本次CTA未发现典型夹层征象，却提示降主动脉壁中层中度增厚伴条带状高密度影，为中度壁内血肿表现,本次CTA虽未形成完整真假腔结构，但主动脉弓及降段可见大片壁内高密度伴管腔受压，提示重度进行性壁内出血,急诊降压 + 严密监测,0
3030039,30,3003,2,主动脉弓源石夹层,1.0,1.1,剧烈疼痛致无法平躺，脸色蜡黄满汗,突然感觉从胸骨后到两侧肩胛中间像被撕开一条口子，疼痛位置沿着主动脉弓向颈部和背部炸裂一样扩散，说得出是中上胸到后背一整圈像被“扯断”了一样,只会喊“胸和背整圈都在裂开”，一会儿捂前胸、一会儿抱着后背，说的是上半身中段都剧痛，已经分不清是不是主动脉本身撕裂还是别的地方在痛,术前 CTA + 术中经食管超声,晶体撕裂延伸，证实主动脉急性受损需高度警惕,管壁完好，结果阴性却与主动脉危象临床不符,本次评估未见典型源石夹层撕裂，但在弓部近端可见轻度壁内血肿及轻度管壁不规则，为轻度急性壁损伤的其他表现,本次评估未找到明确真假腔形成，却发现弓部和降段存在中度壁内血肿与管腔偏移，为中度严重的壁层分离征象,本次评估虽未直观显示完整夹层裂口，但主动脉弓及近端分支呈现重度壁内血肿和管腔受压变形，提示重度危及供血的急性大血管损害,人工血管置换 + 去晶 + 感染抑制剂 23 号,1
3030041,30,3004,0,轻度冠脉痉挛,0.35,0.3,胸前轻压仍镇定,夜里或者情绪紧张时，胸骨后偏左下方会突然一阵发紧发凉，痛感沿着左前胸往左臂内侧轻微放射，说得出是在冠状动脉走行的大致区域，几分钟后自行缓解,就说“心口这里有时候像被抓了一把”，有时说是胸口一窜凉气从中间滑到左边，也可能泛泛地说整块胸前一紧就过去了,冠状动脉 CTA,血管瞬时收缩，提示冠状动脉功能轻度偏离，需结合体征判断,管腔稳定，与冠状动脉常规范围一致，需结合动态观察,本次CTA未捕捉到明显痉挛时相，但在左前降支近端可见轻度壁不规则和轻度狭窄，为轻度局灶性冠脉异常,本次CTA未示短暂痉挛，却发现左回旋支存在中度局灶狭窄，为中度解剖学供血异常,本次CTA虽未记录到瞬时收缩改变，但右冠近段可见重度管腔狭窄和迂曲，提示重度结构性供血受限,钙通道阻滞剂,0
