cid,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
20120024,20,2002,1,中度喉口源石性狭窄,0.45,0.065,说话时可见喉口活动略受限，发声费力，呼吸时颈前轻度凹陷,最近讲话时间一长就会明显喘不过来，感觉气从喉咙口出不来，位置就在喉咙最中间，深呼吸时会有一点声音发紧的感觉,就觉得整根脖子都在勒着自己，说是“嗓子这儿缩成一条缝”，有时候连正常呼吸都嫌累,喉镜检查 + 声门呼吸流量测定,喉镜下声门开闭范围中度受限，喉口周边黏膜有半环形源石结晶带附着，呼吸相流量曲线显示中度上气道阻力增高,声门开闭幅度正常，喉口黏膜柔软无结晶或环形狭窄，气道流量曲线在正常范围,本次检查未能直接证实喉口源石性狭窄，但声门下缘仍有轻度黏膜水肿，提示同部位存在其他轻症级别通气受限,本次检查未能直接证实喉口源石性狭窄，却发现一侧声带中段中度不对称增厚，提示同部位合并中症级别结构性病变,本次检查未能直接证实喉口源石性狭窄，但呼吸流量曲线提示严重上气道阻塞，说明同部位存在重症级别狭窄或塌陷需急诊处理,住院监护 + 气道雾化扩张 + 中等剂量源石结晶逆转药物 21 号,0
20120025,20,2002,2,重度喉口源石结晶塌陷性阻塞,1.0,0.11,可见颈前明显凹陷与吸气三凹征，说话气短，张口时喉口区域变形狭窄,现在稍微一动就会喘得说不出完整一句话，感觉气卡在喉咙最里面，像有一整圈硬块锁住了气道，说不上是痛还是闷，只觉得快透不过气,只能断断续续地说“喘不过来”“嗓子要塌了”，一边捂着脖子一边大口喘气，已经分不清具体是哪里堵住,喉镜 + 颈部增强 CT,喉镜下可见喉口周围大块源石结晶环状堆积，声门开闭严重受限，增强 CT 显示气道腔隙显著狭窄甚至接近闭塞,喉口结构与声门开闭幅度正常，增强 CT 未见环状占位或结晶影，气道通畅良好,本次喉镜与 CT 未能直接证实结晶塌陷性阻塞，但在声门下仍可见轻度壁不规则，提示该部位存在其他轻症级别结构改变,本次喉镜与 CT 未能直接证实结晶塌陷性阻塞，却发现喉腔一侧壁中度增厚伴软组织影，提示同部位合并中症级别占位病变,本次喉镜与 CT 未能直接证实结晶塌陷性阻塞，但影像提示喉腔严重偏移和狭窄，说明同部位存在重症级别致命气道阻塞需立刻处理,紧急气管切开术建立下方气道 + 喉口源石结晶清除与支架成形术 + 术前高流量吸氧与源石活性抑制冲击治疗,1
20120030,20,2003,0,轻度气管壁源石性浸润,0.35,0.03,体表无可见异常，胸廓运动对称，听诊略闻轻微粗糙呼吸音,最近深呼吸的时候会觉得胸口正中间有轻微的拉扯感，偶尔会有一点干咳，没有痰也不算疼，就是有点不顺畅,就说“胸口这里总像卡着一条绳子”，一会儿说是心口不舒服，一会儿又说像是喝水呛到之后那种不顺,胸部 CT 低剂量扫描,气管壁局灶性轻度增厚，内缘可见细小线状高密度源石沉积，气道腔隙仍保持通畅,气管管壁厚度与形态均在正常范围，未见高密度结晶影或气道狭窄,本次 CT 未能直接证实气管壁源石浸润，但远端气管仍可见轻度壁不规则，提示该部位存在其他轻症级别炎性或瘢痕改变,本次 CT 未能直接证实气管壁源石浸润，却发现近隆突处有中度环形壁增厚，提示同部位合并中症级别狭窄性病变,本次 CT 未能直接证实气管壁源石浸润，但扫描提示气管局部明显狭窄，说明同部位存在重症级别阻塞性病灶需进一步评估,门诊随访 + 低剂量源石抑制口服药 21 号 + 呼吸功能监测,0
20120031,20,2003,0,轻度气管源石性干咳综合征,0.35,0.03,外观无明显异常，偶有轻微干咳，肺部听诊大致正常,最近总是莫名其妙地干咳，感觉痒的位置就在胸口正中的气管那里，没有痰也不喘，运动的时候会加重一点,就觉得“气管里总有股凉风在刮”，一会儿说是喉咙痒一会儿又说是胸口痒，说不清到底是哪一段,呼出气冷凝液检查 + 简易肺功能,呼出气冷凝液中可见轻度源石相关标记物升高，肺功能总体正常但大气道敏感性略高,呼出气冷凝液未检出异常源石相关成分，肺功能参数在正常范围，未提示大气道高反应,本次检查未能直接证实干咳综合征，但气道阻力曲线仍显示轻度波动，提示同部位存在其他轻症级别功能性改变,本次检查未能直接证实干咳综合征，却发现中段气道通气曲线中度不稳定，提示同部位合并中症级别大气道高反应性,本次检查未能直接证实干咳综合征，但气道阻力明显升高，说明同部位存在重症级别通气障碍需进一步影像学评估,对症止咳药 + 源石相关气道炎症调节剂 21 号低剂量 + 呼吸康复训练,0
20120032,20,2003,0,轻度气管源石性痉挛倾向,0.3,0.03,体表观察呼吸节律正常，偶有短暂轻微胸闷发作，无可见异常,最近有几次突然觉得胸口正中间被轻轻勒了一下，呼吸会短暂停顿一两秒，很快自己就缓过来，没有明显胸痛,就老说“气一口接一口提不上来”，但真正发作的时候别人看着又不太明显，她自己觉得是整条气道都在抽筋,呼出一氧化氮检测 + 支气管激发试验,检测显示大气道轻度炎性激活，支气管激发后出现短暂气道阻力轻度升高但可完全恢复,呼出一氧化氮水平正常，支气管激发试验阴性，未见气道高反应或痉挛趋势,本次检查未能直接证实痉挛倾向，但气道流速曲线仍有轻度不规则波动，提示该部位存在其他轻症级别通气变异,本次检查未能直接证实痉挛倾向，却发现激发后中度持续性气道阻力升高，提示同部位合并中症级别可逆性狭窄,本次检查未能直接证实痉挛倾向，但激发后出现明显严重通气受限，说明同部位存在重症级别气道高反应需严格管理,门诊吸入类支气管舒张药按需使用 + 源石相关炎症控制 21 号小剂量,0
20120033,20,2003,1,中度气管壁源石结晶斑块,0.55,0.065,呼吸时胸廓起伏略显费力，听诊胸骨旁可闻轻微干性哮鸣音,这段时间一走快路胸口正中就会有压迫感，像有块硬东西顶在气管里面，呼吸会变得有点响，偶尔会有咳嗽带少量痰,就说“胸口像被一块石头卡住了”，一会儿指着心口一会儿又指着喉咙，说哪儿都堵得慌,高分辨 CT + 三维气道重建,显示气管中段后壁有数块贴壁高密度源石结晶斑，局部腔隙中度变窄，气流重建示通过时形成明显涡流,气管各段管径及壁厚均匀，三维重建未见高密度贴壁或腔隙狭窄,本次影像未能直接证实结晶斑块，但近隆突处仍有轻度壁不规则影，提示该部位存在其他轻症级别结构改变,本次影像未能直接证实结晶斑块，却发现中段气管有中度环形软组织增厚，提示同部位合并中症级别狭窄性病变,本次影像未能直接证实结晶斑块，但气管局部几乎被软组织和致密影占据，说明同部位存在重症级别气道梗阻需尽快处理,短期留观 + 吸入支气管扩张剂 + 中等剂量源石结晶逆转药物 21 号,0
20120034,20,2003,1,中度气管源石性狭窄发作,0.45,0.065,平静呼吸时可见轻度呼吸急促，说话稍快即出现明显气促,一段时间以来，只要爬楼梯或说话快一点，胸口正中就会突然收紧，感觉吸进来的气不够，必须停下来喘几口才缓解,就老说“像有人捏着气管不让自己喘气”，描述时一会儿说是心脏不舒服，一会儿又说是肺在挤,肺功能检查 + 气道阻力评估,肺功能显示大气道通气量中度下降，气道阻力中度升高，峰流速曲线呈切迹状改变，符合中度气管性狭窄表现,肺功能与气道阻力在正常范围，峰流速曲线光滑无狭窄特征,本次检测未能直接证实狭窄发作，但大气道通气仍有轻度波动，提示该部位存在其他轻症级别可逆性通气障碍,本次检测未能直接证实狭窄发作，却发现部分指标中度持续性下降，提示同部位合并中症级别固定性狭窄病变,本次检测未能直接证实狭窄发作，但结果提示严重大气道阻塞，说明同部位存在重症级别通气障碍需影像学进一步确认,住院观察 + 吸入支扩药联用 + 中剂量源石活性抑制 21 号 + 氧疗支持,0
20120035,20,2003,2,重度气管源石结晶性严重狭窄,1.0,0.11,可见患者呼吸明显急促，胸骨上窝与肋间凹陷明显，听诊中段气管上可闻高调喘鸣,现在稍微活动一下就会严重喘不过来，感觉气只能到喉咙口就下不去，胸口正中像被硬块完全锁住了，说话只能一两个字,只会一边抓着胸口一边断断续续说“要窒息了”，形容整条气道都被堵死，已经说不清具体是哪一段最难受,增强 CT + 术前气道镜评估,增强 CT 显示气管中段长节段高密度源石结晶贴壁并向腔内突出，腔隙显著狭窄，气道镜证实局部呈不规则狭缝状残余腔道,气管纵向及横向径线正常，增强 CT 未见高密度结晶或腔隙狭窄，气道镜下黏膜光滑,本次 CT 与气道镜未能直接证实严重狭窄，但近隆突处仍有轻度壁僵硬，提示该部位存在其他轻症级别结构性病变,本次 CT 与气道镜未能直接证实严重狭窄，却发现局部气道中度变窄伴壁增厚，提示同部位合并中症级别固定性狭窄或结晶沉积,本次 CT 与气道镜未能直接证实严重狭窄，但整体影像提示大段气管明显受压移位，说明同部位存在重症级别气道危象需立即手术处理,全麻下气管结晶切除与腔内成形术 + 必要时支架植入 + 术前高流量氧疗与源石抑制冲击 + 术后重症监护,1
20120040,20,2004,0,轻度主支气管源石性壁浸润,0.35,0.03,体表无异常，听诊时两肺呼吸音大致对称，仅轻微粗糙,最近偶尔会在一侧胸口深处觉得有一点点闷，位置大概在腋下往里那块，深呼吸时会更明显一点，但不影响日常活动,就说“这一侧胸腔总觉得有点沉”，一会儿指着前胸一会儿又指着后背，完全说不清是哪一块,高分辨 CT,单侧主支气管壁局灶性轻度增厚，内缘可见点状源石高密度影，远端通气基本正常,双侧主支气管壁厚及管径正常，未见源石相关高密度影或通气异常,本次 CT 未能直接证实壁浸润，但远端支气管仍见轻度壁不规则，提示该部位存在其他轻症级别结构改变,本次 CT 未能直接证实壁浸润，却发现局部中度壁增厚伴腔隙缩窄，提示同部位合并中症级别狭窄性病变,本次 CT 未能直接证实壁浸润，但主支气管一侧呈显著狭窄，说明同部位存在重症级别通气受限需进一步评估,门诊随访 + 低剂量源石抑制药 21 号 + 定期复查影像,0
20120041,20,2004,0,轻度主支气管源石性干性炎,0.35,0.03,外观正常，偶发不频繁干咳，听诊局部可有轻微干啰音,这段时间偶尔会在一侧胸口深处出现一两声空咳，感觉像有一点点痒在那条大气管里，但很快就会自己好,就说“好像那边肺门里有灰没咳干净”，一会儿说是在腋下，一会儿又说在锁骨下方,呼出气冷凝液分析 + 肺功能小气道评估,呼出气中源石相关炎性因子轻度升高，肺功能提示大气道基本正常，仅有细微波动,呼出气冷凝液炎性指标与源石相关标记物均在正常范围，肺功能曲线平稳无异常,本次评估未能直接证实干性炎，但局部气道阻力仍有轻度升高，提示该部位存在其他轻症级别炎性反应,本次评估未能直接证实干性炎，却发现大气道阻力中度持久升高，提示同部位合并中症级别气道高反应,本次评估未能直接证实干性炎，但气道阻力曲线严重异常，说明同部位存在重症级别通气障碍需进一步确诊,对症止咳药 + 源石相关炎症调节剂 21 号小剂量 + 呼吸康复训练,0
20120042,20,2004,0,轻度主支气管源石性通气不均,0.3,0.03,胸廓对称，听诊可闻一侧肺底呼吸音略低但难以肉眼察觉异常,最近会偶尔觉得一侧胸侧吸气不太顺畅，好像那边进气比另一边少一点，但不咳也不疼，只是运动时更明显,就形容“左边/右边肺好像偷懒”，一会儿说是那边在打瞌睡，一会儿又说是整块胸腔都闷,肺通气/灌注核素扫描,扫描提示一侧主支气管供区通气稍逊于对侧，灌注基本对称，局部显示轻度通气不均,通气与灌注核素分布对称均匀，未见明显通气不均或灌注缺损,本次扫描未能直接证实通气不均，但远端支气管区域仍显示轻度延迟通气，提示该部位存在其他轻症级别功能改变,本次扫描未能直接证实通气不均，却发现一侧中叶区域有中度通气灌注不匹配，提示同部位合并中症级别通气障碍,本次扫描未能直接证实通气不均，但一侧大片区域呈重度灌注缺损，说明同部位存在重症级别血流或气流阻断需紧急评估,门诊随访 + 轻度有氧运动呼吸训练 + 低剂量源石活性调节药物,0
20120043,20,2004,1,中度主支气管源石性狭窄,0.55,0.065,呼吸略显费力，可见一侧胸廓起伏稍弱，听诊该侧哮鸣音明显,走路稍微快一点这一侧胸就会开始憋得厉害，感觉气只能到半截胸腔就下不去，位置在腋下内侧那块比较集中,就说“这一整侧肺像被塞住了一样”，一边揉着侧胸一边说哪儿都透不过气,高分辨 CT + 三维气道重建,CT 显示单侧主支气管腔隙中度狭窄，内缘附着片状源石结晶，三维重建示该段气流明显受限,双侧主支气管形态规则，三维重建未见狭窄或结晶相关高密度影,本次影像未能直接证实狭窄，但同侧远端支气管仍见轻度壁不齐，提示该部位存在其他轻症级别结构改变,本次影像未能直接证实狭窄，却发现局部中度支气管扩张样改变，提示同部位合并中症级别通气异常,本次影像未能直接证实狭窄，但一侧气道几乎完全被软组织及结晶占据，说明同部位存在重症级别阻塞性病变需即时处理,住院监护 + 吸入支扩药联合疗程 + 中剂量源石结晶逆转药物 21 号 + 氧疗,0
20120044,20,2004,1,中度主支气管源石性慢性阻塞,0.45,0.065,一侧胸廓呼吸运动略受限，长期可见轻度呼吸急促,这几个月一爬楼这一侧胸口就开始发紧，会咳出一点黏痰，感觉那边肺门像被慢慢堵住了，平躺时更明显,就说“那边肺门被人慢慢关上了门”，形容成整块侧胸都被压住，很难具体指出是哪一个点,肺功能检查 + 动态肺灌注成像,肺功能显示该侧支气管供区通气量中度下降，小气道阻力增加，动态灌注图显示同侧灌注稍减弱,肺功能通气参数对称，动态灌注图未见明显左右差异或灌注异常,本次检查未能直接证实慢性阻塞，但同侧远端区域仍有轻度通气延迟，提示该部位存在其他轻症级别通气受限,本次检查未能直接证实慢性阻塞，却发现中叶区域中度通气/灌注不匹配，提示同部位合并中症级别阻塞或血流异常,本次检查未能直接证实慢性阻塞，但显示大片肺野严重灌注缺损，说明同部位存在重症级别气道或血流阻断需紧急评估,长期吸入支扩与源石抑制联用治疗 + 定期呼吸康复训练 + 中短期住院观察,0
20120045,20,2004,2,重度主支气管源石结晶性完全阻塞,1.0,0.11,一侧胸廓明显塌陷感，呼吸时对侧代偿起伏增加，听诊阻塞侧几乎无呼吸音,现在整侧胸腔都像是被封死了，吸气的时候这一边几乎感觉不到空气进去，只能靠另一侧撑着，稍微动一下就会严重气喘,只会说“左边/右边这整块都废了”，一边捂着侧胸一边大口喘气，已经完全说不清具体哪条气道在堵,高分辨 CT + 支气管镜检查,CT 显示单侧主支气管腔隙被致密源石结晶与肉芽组织完全填充，远端肺野呈大片不张，支气管镜证实无法通过阻塞段,双侧主支气管通畅，无高密度结晶或腔内占位，支气管镜顺利通过各分支未见异常,本次 CT 与支气管镜未能直接证实完全阻塞，但阻塞侧近端仍有轻度壁硬化，提示该部位存在其他轻症级别结构性改变,本次 CT 与支气管镜未能直接证实完全阻塞，却发现同侧多支分支中度狭窄，提示同部位合并中症级别弥漫性阻塞性病变,本次 CT 与支气管镜未能直接证实完全阻塞，但大片肺不张和气道塌陷提示重症级别通气中断需立即手术处理,全麻下支气管镜辅助源石结晶掏出术 + 阻塞段切除与端端吻合或支架植入 + 术前高流量氧疗与源石抑制冲击治疗,1
20120050,20,2005,0,轻度肺上叶源石性弥漫浸润,0.35,0.03,体表无异常，听诊上肺野呼吸音略显粗糙但基本对称,最近检查时发现上胸口深呼吸有点紧，自己能感觉到上面这一片吸气比较费力一点，但没有明显咳嗽或胸痛,就说“上面这一截肺好像不太愿意动”，一会儿指锁骨上方一会儿又摸到腋下，很模糊,高分辨 CT,上叶肺纹理略增粗，可见散在细小源石结节影，未见明显实变或大片渗出,上叶肺纹理清晰，未见结节、磨玻璃影或其他源石相关改变,本次 CT 未能直接证实弥漫浸润，但局部仍见轻度磨玻璃样轻微改变，提示该部位存在其他轻症级别炎性改变,本次 CT 未能直接证实弥漫浸润，却发现上叶有中度片状磨玻璃影，提示同部位合并中症级别活动性病变,本次 CT 未能直接证实弥漫浸润，但上叶大片实变影提示重症级别肺组织受损需紧急评估,门诊随访 + 低剂量源石抑制药 21 号 + 适度有氧训练与定期影像复查,0
20120051,20,2005,0,轻度肺上叶源石性间质改变,0.35,0.03,外观与呼吸节律基本正常，偶有轻微喘息，难以肉眼察觉异常,最近爬一两层楼会有一点点气短，感觉偏上胸这块吸气不如以前顺畅，但休息一会儿就能缓过来,就说“胸上半截像被轻轻箍住”，一会儿说是心口紧，一会儿又说锁骨底下发闷,肺弥散功能检查 + CT 薄层扫描,弥散功能轻度下降，上叶亚段间隔略增厚，可见细小线样源石沉积,弥散功能在正常下限，CT 未见明显间隔增厚或源石相关线样影,本次检查未能直接证实间质改变，但上叶部分区域仍有轻度纹理模糊，提示该部位存在其他轻症级别改变,本次检查未能直接证实间质改变，却发现局灶间隔中度增厚，提示同部位合并中症级别纤维化趋势,本次检查未能直接证实间质改变，但大片蜂窝样改变表明重症级别纤维化需积极处理,门诊监测 + 低剂量抗纤维化及源石抑制联合 21 号 + 肺康复训练,0
20120052,20,2005,0,轻度肺上叶源石性微结节,0.3,0.03,体表检查与听诊基本无异常，上肺野呼吸音略偏粗,定期体检拍片发现上肺有几颗很小的阴影，平时自己只是在深呼吸时偶尔会觉得上面有一点点轻微闷胀,就说“片子上说长了点小东西”，自己形容成上面那块肺里“种了几粒沙子”，具体位置说不清楚,胸部 CT 精细扫描,上叶可见数枚直径数毫米的源石性微结节，边界清楚，无明显毛刺或周围渗出,CT 未见异常结节影或源石结晶沉积，上叶结构清晰,本次 CT 未能直接证实微结节，但上叶部分段仍有轻度纹理增粗，提示该部位存在其他轻症级别病变,本次 CT 未能直接证实微结节，却发现上叶中度磨玻璃影及实变灶，提示同部位合并中症级别活动性炎症或渗出,本次 CT 未能直接证实微结节，但大片融合结节与结构破坏提示重症级别占位性病变需进一步分型,定期影像随访 + 低剂量源石活性调节药物 21 号 + 避免高强度负荷,0
20120053,20,2005,1,中度肺上叶源石性浸润影,0.55,0.065,上肺野叩诊稍浊，听诊可闻局部湿啰音，呼吸略急促,最近这段时间上胸这块总是隐隐作痛，深呼吸或咳嗽时会加重，伴随轻微低热和乏力，觉得这一片肺总是“装不满气”,就说“上面一整片都像被水泡着”，一会儿指着肩胛间区一会儿又拍前胸，说整块都闷,胸部 CT + 炎症指标检测,上叶见片状磨玻璃浸润影，内夹杂斑片状源石高密度影，血液炎症指标轻度升高,CT 显示肺野透亮良好，无异常浸润或源石结晶影，炎症指标在正常范围,本次检查未能直接证实浸润影，但上叶仍存在轻度磨玻璃样改变，提示该部位有其他轻症级别炎性病变,本次检查未能直接证实浸润影，却发现上叶中度实变区，提示同部位合并中症级别活动性炎症或渗出,本次检查未能直接证实浸润影，但大片致密实变和支气管含气征提示重症级别肺实变需积极处理,住院抗感染 + 中剂量源石抑制药 21 号静脉方案 + 氧疗与肺部理疗,0
20120054,20,2005,1,中度肺上叶源石性空洞倾向,0.45,0.065,体表可见轻度消瘦，上肺野叩诊略呈鼓音，听诊局部呼吸音减弱,近一段时间总是在上胸后背这块隐隐作痛，有时候深呼吸会牵扯到肩膀，偶尔会咳出一点带味的痰,就说“上面这块肺好像被挖空了一点”，形容成里面有个洞，但又说不清是前面还是后面疼,胸部 CT + 痰液病原学检测,上叶局部可见薄壁含气区，周边有环状源石性高密度沉积，提示早期空洞样改变，痰液检出轻度感染征象,CT 未见空洞或薄壁含气区，肺纹理正常，痰液检查未见特异性病原或源石相关成分,本次检查未能直接证实空洞倾向，但上叶仍有轻度局灶性透亮影，提示该部位存在其他轻症级别结构改变,本次检查未能直接证实空洞倾向，却发现上叶中度囊状支气管扩张，提示同部位合并中症级别支气管结构病变,本次检查未能直接证实空洞倾向，但大片厚壁空洞及周围实变提示重症级别破坏性病变需警惕,住院抗感染 + 源石结晶逆转药物 21 号中剂量 + 呼吸物理治疗与密切影像随访,0
20120055,20,2005,2,重度肺上叶源石性纤维化塌陷,1.0,0.11,一侧或双侧上胸廓活动明显受限，锁骨上窝凹陷，听诊上肺野呼吸音显著减弱或消失,现在只要稍微走远一点路，上半截胸口就会闷得厉害，感觉那一块怎么吸气都吸不起来，像是整块硬成了一块石头,只会形容“上面肺已经变成石头了”，一边按着锁骨上一片一边喘，已经说不清具体是哪里在拉扯疼,胸部高分辨 CT + 肺功能弥散测定,CT 显示上叶大片网状纤维化伴源石高密度条索，肺组织明显萎缩塌陷，弥散功能严重下降,高分辨 CT 未见广泛纤维化或塌陷影像，弥散功能在正常范围或轻度受限,本次检查未能直接证实纤维化塌陷，但上叶仍可见轻度间隔增厚，提示该部位存在其他轻症级别间质性病变,本次检查未能直接证实纤维化塌陷，却发现局部中度纤维化及容积减小，提示同部位合并中症级别结构损伤,本次检查未能直接证实纤维化塌陷，但体积显著缩小和蜂窝样改变提示重症级别不可逆损伤需外科干预,评估后行胸腔镜辅助上叶部分切除或肺容量缩减术 + 术前源石抑制与肺康复训练 + 术后呼吸支持与长期随访,1
20120060,20,2006,0,轻度肺下叶源石性小灶浸润,0.35,0.03,体表无异常，下肺野听诊呼吸音略粗，偶有散在细湿啰音,最近偶尔会在背下方靠近腰线上面一点的位置觉得有点闷，深呼吸时会更明显一点，但不咳痰也不明显喘,就说“下面这一块肺好像压着一层被子”，一会儿指着后背一会儿又摸侧腰，说哪儿都怪,胸部 CT,下叶背段可见散在小片状磨玻璃浸润影，内部夹杂细小源石高密度点，未见大片实变,下叶肺纹理清晰，未见磨玻璃影或源石相关结晶,本次 CT 未能直接证实小灶浸润，但局部仍有轻度纹理模糊，提示该部位存在其他轻症级别炎性改变,本次 CT 未能直接证实小灶浸润，却发现下叶有中度大片渗出区，提示同部位合并中症级别活动性炎症,本次 CT 未能直接证实小灶浸润，但下叶大片实变影提示重症级别肺炎样累及需积极处理,门诊随访 + 低剂量源石抑制药 21 号 + 适量活动与复查影像,0
20120061,20,2006,0,轻度肺下叶源石性通气不全,0.35,0.03,外观看似正常，长时间久坐后下肺野叩诊略浊，难以肉眼察觉异常,久坐或躺久了起来时，会觉得靠近后背下方那一大片吸气有点费力，走几步活动活动就会慢慢好转,就说“下面那块肺老是睡着了”，一会儿形容是整片腰背都闷，一会儿又说是肚子边上提不上气,肺通气/灌注扫描 + 体位试验,通气扫描显示下叶后基底段通气轻度减低，体位变化后部分改善，灌注大致正常,通气与灌注分布均匀，体位变化前后未见明显差异,本次检查未能直接证实通气不全，但下叶仍有轻度通气延迟，提示该部位存在其他轻症级别功能改变,本次检查未能直接证实通气不全，却发现下叶中度通气/灌注不匹配，提示同部位合并中症级别阻塞性或栓塞性病变,本次检查未能直接证实通气不全，但大片通气与灌注严重缺损提示重症级别肺动脉或气道阻断需紧急评估,调整体位与呼吸训练 + 低剂量源石调节药 21 号 + 门诊随访,0
20120062,20,2006,0,轻度肺下叶源石性渗出倾向,0.3,0.03,体表观无异常，偶有轻微软弱咳嗽，下肺野听诊略有湿性啰音,最近几天偶尔会咳出一点点黏痰，感觉来自后背下方那一块，深呼吸时会有轻微刺痛，但整体还算能忍受,就形容“下面那块肺有点黏糊糊的”，一会儿说像积了水，一会儿又说像有团雾气,胸部 CT + 痰液检查,下叶基底段可见极轻度条索状磨玻璃影，内含少量源石晶点，痰液检查炎性细胞略增多,CT 显示肺野透亮良好，无异常渗出或源石结晶影，痰液检查基本正常,本次检查未能直接证实渗出倾向，但下叶仍见轻度纹理增粗，提示该部位存在其他轻症级别改变,本次检查未能直接证实渗出倾向，却发现局部中度片状渗出影，提示同部位合并中症级别炎性浸润,本次检查未能直接证实渗出倾向，但大片融合渗出与实变提示重症级别肺炎样病变需强化治疗,门诊抗感染源石抑制药 21 号低剂量 + 适当休息与复查,0
20120063,20,2006,1,中度肺下叶源石性实变灶,0.55,0.065,一侧下肺叩诊浊音明显，听诊可闻中度湿啰音和管样呼吸音,这几天下胸后背这块一直钝钝地痛，深呼吸和咳嗽的时候会更明显，走路稍微快一点就会觉得那一块特别沉重,就说“下面这一大块像被灌了铅”，一会儿拍后背一会儿按侧腰，把整块下胸都当成痛点,胸部 CT + 炎症指标检测,下叶大片实变影伴分叶状源石高密度沉积，可见支气管含气征，炎症指标中度升高,CT 未见大片实变或源石结晶沉积，肺纹理清晰，炎症指标接近正常,本次检查未能直接证实实变灶，但下叶仍有轻度条索影，提示该部位存在其他轻症级别炎症后改变,本次检查未能直接证实实变灶，却发现局部中度磨玻璃影与支气管扩张，提示同部位合并中症级别活动性炎症或扩张病变,本次检查未能直接证实实变灶，但大片致密影与胸腔积液提示重症级别肺组织受损需积极处理,住院抗感染与源石抑制联合 21 号中剂量静滴 + 氧疗与体位引流,0
20120064,20,2006,1,中度肺下叶源石性支气管周围炎,0.45,0.065,下肺野听诊可闻散在干湿啰音，呼吸稍显费力,一段时间以来总在背部下方那个区域反复咳痰，有时候会带一点腥味，咳嗽时能明显感觉到那一小条气道在牵扯疼,就说“下面一条管子一直在发炎”，但指位置的时候总是在整个下背和腰侧晃来晃去,高分辨 CT + 支气管造影,下叶支气管周围可见环形源石性高密度沉积，周围出现袖口样增厚，远端气道略不规则,CT 与造影未见支气管周围异常增厚或源石性沉积，远端气道走行顺畅,本次检查未能直接证实支气管周围炎，但局部仍有轻度支气管壁增厚，提示该部位存在其他轻症级别炎性改变,本次检查未能直接证实支气管周围炎，却发现同区域中度囊状支气管扩张，提示同部位合并中症级别结构病变,本次检查未能直接证实支气管周围炎，但大片支气管扩张与实变提示重症级别不可逆损伤需进一步处理,住院抗感染 + 源石活性逆转 21 号中等剂量 + 呼吸物理治疗和体位引流,0
20120065,20,2006,2,重度肺下叶源石性广泛实变伴塌陷,1.0,0.11,一侧下胸廓呼吸运动明显减少，叩诊浊实，听诊几乎无正常呼吸音，仅残余支气管呼吸音,现在只要站起来走几步，整片下胸和后背就会被一种压迫感填满，感觉下面那块肺完全动不了，只能靠上面勉强换气,只会说“下面这整块已经坏掉了”，一边紧按着腰上的下胸区域，一边大口喘气，根本说不清具体哪条气道,胸部增强 CT + 肺灌注扫描,增强 CT 显示下叶大面积高密度源石结晶与实变融合，叶体体积明显缩小，肺灌注扫描示相应区域灌注严重缺失,增强 CT 未见广泛实变或源石结晶融合，肺灌注扫描灌注分布均匀,本次检查未能直接证实广泛实变塌陷，但下叶仍有轻度容积减小，提示该部位存在其他轻症级别结构受限,本次检查未能直接证实广泛实变塌陷，却发现局灶中度容积缩小与灌注缺损，提示同部位合并中症级别肺组织损伤,本次检查未能直接证实广泛实变塌陷，但大片无灌注区与结构破坏提示重症级别不可逆损伤需立即外科评估,全麻下肺下叶部分或全叶切除术 + 术前源石抑制与抗感染联合 21 号冲击 + 术后重症监护与系统呼吸康复,1
3010010,30,3001,0,轻度左心房源石微晶沉积,0.35,0.03,无可见异常，仅在静息时呼吸略显急促,这段时间一上楼梯心口这边就有点闷，位置偏左胸靠中间一些，休息一两分钟就能缓过来，没有刺痛，就是发紧发涨,就觉得整片胸口闷得慌，说不清是在心脏还是肺，总之一累就整块发憋,心电图 + 超声心动图（M 型）,超声提示左心房壁局灶性高回声微点，收缩功能基本保留，心电图偶见房性早搏,心腔大小与壁运动均在参考范围内，未见异常高回声或节律失常,本次心电图与超声未能直接证实源石微晶，但左心房内可见轻度回声不均，提示同部位仍存在其他轻症级别传导或结构异常,本次检查未能直接提示源石微晶，却发现左心房轻中度扩张，提示同部位可能合并中症级别的其他负荷性病变,本次检查未能直接证实源石微晶，却显示左心房重度扩张伴明显舒张功能受限，提示同部位已存在重症级别心功能受损,门诊口服轻度抗感染源石抑制剂 + 低剂量利尿剂 21 号，配合2周活动量控制与心率监测,0
