cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
43,15,1,102,0,10,self_have_sibling_child,她把点心分成了两半，一半自己吃，一半留给了姐妹，结果对方嫌那一半小，两个人当场吵了起来。,让她们换过来分一次,,,倾向：开放，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|13_G_2&CVE_A2_F_G_10,再拿一份来，谁也不亏,,,亲密＋，对方好感＋,CVE_A1_F_G_14&CVE_A2_F_G_14&CVE_A1_Growth|20_G_2,两份都收走，等她们商量好再给,,,好感下降，倾向：坚强,CVE_A1_F_L_12&CVE_A1_Growth|11_G_3&CVE_A2_F_L_10,,,,,
44,15,1,102,0,9,self_have_sibling_child,年长的那个孩子在教她认字，教到一半自己先不耐烦了，说了句你怎么这么笨。她当场没吭声，转头把书合上了。,把年长的那个叫过来说清楚,,,倾向：坚强，对方好感－,CVE_A1_F_G_10&CVE_A1_Growth|11_G_3&CVE_A2_F_L_10,接过来自己教,,,亲密＋＋，倾向：勤劳,CVE_A1_F_G_18&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,让两个人自己把这事说开,,,倾向：开放，对方好感＋,CVE_A1_F_G_6&CVE_A1_Growth|13_G_3&CVE_A2_F_G_8,,,,,
45,15,1,102,0,9,self_have_sibling_child,两个孩子在走廊上比谁跑得快。跑到一半，小的那个被绊了一下，年长的却没停，一直冲到了终点。,先扶起她，再叫年长的回来,,,照料＋，对方好感－,CVE_A1_F_G_14&CVE_A1_Growth|20_G_3&CVE_A2_F_L_6,让她自己起来，比赛还没完,,,倾向：坚强,CVE_A1_F_G_6&CVE_A1_Growth|11_G_4&CVE_A2_F_G_5,宣布这场不算，重来一次,,,倾向：热情，对方好感＋,CVE_A1_F_G_10&CVE_A1_Growth|12_G_3&CVE_A2_F_G_10,,,,,
46,15,1,102,0,9,self_have_classmate,班上有个孩子今天没来，她记了一整天，放学后攥着一张画好的纸问你：能不能送去给她。,带她去送,,,亲密＋，倾向：热情,CVE_A1_F_G_16&CVE_A1_Growth|12_G_3&CVE_A2_F_G_12,让她自己去，你在楼下等,,,信赖＋＋，倾向：开放,CVE_A1_F_G_10&CVE_A1_X_G_5&CVE_A1_Growth|13_G_3&CVE_A2_F_G_8,告诉她明天在教室给也一样,,,好感小降，倾向：孤僻,CVE_A1_F_L_6&CVE_A1_Growth|12_L_2,,,,,
47,15,1,102,0,9,self_have_classmate,几个孩子在教育区的空地上分组玩，分到最后剩下她一个。她站在原地，装作在看别处。,过去把她拉进其中一组,,,亲密＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3&CVE_A2_F_G_6,教她自己开口说想加入,,,倾向：开放，倾向：坚强,CVE_A1_F_G_8&CVE_A1_Growth|13_G_4&CVE_A1_Growth|11_G_2,带她走，去玩点别的,,,亲密＋，倾向：孤僻，倾向：羞耻,CVE_A1_F_G_14&CVE_A1_Growth|12_L_3&CVE_A1_Growth|13_L_2,,,,,
48,15,1,102,0,9,self_have_sibling_child,她把自己最宝贝的那只旧兔子借给了生病的姐妹，晚上却抱着枕头翻来覆去睡不着，又不肯要回来。,夸她做得对，陪她睡一会儿,,,亲密＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A2_F_G_10,去把兔子换回来，明天再借,,,照料＋，倾向：脆弱,CVE_A1_F_G_12&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3,让她自己扛过这一晚,,,倾向：坚强，好感小降,CVE_A1_F_L_5&CVE_A1_Growth|11_G_4,,,,,
49,15,1,102,0,9,self_have_classmate,两个孩子为了一句玩笑吵翻了。她回来一句话不说，把自己关在房间里，晚饭也没出来吃。,敲门进去，听她说完,,,亲密＋＋，信赖＋,CVE_A1_F_G_18&CVE_A1_X_G_4&CVE_A1_Growth|13_G_2,把两个孩子叫到一起说开,,,倾向：开放，对方好感＋,CVE_A1_F_G_10&CVE_A1_Growth|13_G_3&CVE_A2_F_G_10,给她留一晚，明天再说,,,倾向：孤僻，倾向：坚强,CVE_A1_Growth|12_L_2&CVE_A1_Growth|11_G_2,,,,,
50,15,1,102,0,9,self_have_sibling_child,小一点的孩子学着她说话，她说什么就跟着说什么，跟了整整一天。到了晚上，她终于忍不住来找你告状。,告诉她这是因为对方喜欢她,,,亲密＋，倾向：热情,CVE_A1_F_G_16&CVE_A1_Growth|12_G_3&CVE_A2_F_G_8,让她教对方点有用的,,,倾向：勤劳，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|10_G_3&CVE_A2_F_G_12,去让那个孩子别学了,,,倾向：孤僻，对方好感－,CVE_A1_F_G_6&CVE_A1_Growth|12_L_3&CVE_A2_F_L_10,,,,,
51,15,1,102,1,18,CVP_A1_Growth|3_GE_50,她趴在你桌边看了很久，忽然问：我是从哪里来的。问完自己也觉得这问题不太一样，声音越来越小。,认真地讲她出生那天的事,,,信赖＋＋，倾向：开放,CVE_A1_F_G_20&CVE_A1_X_G_6&CVE_A1_Growth|13_G_3,告诉她等长大一点再说,,,好感小降，倾向：羞耻,CVE_A1_F_L_8&CVE_A1_Growth|13_L_3,反问她觉得自己是从哪来的,,,亲密＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_2&CVE_A1_Growth|10_G_1,,,,,
52,15,1,102,0,10,,她搬了张小凳子坐在你办公桌对面，手里拿着一叠废纸，一本正经地看、皱眉、然后签上她的名字。,配合她，把废件递过去让她批,,,亲密＋＋，倾向：开放,CVE_A1_F_G_20&CVE_A1_Growth|13_G_3&CVE_A1_Growth|10_G_1,教她那些字念什么,,,倾向：勤劳，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|10_G_4,让她去别处玩，这里在办正事,,,好感下降，倾向：孤僻,CVE_A1_F_L_14&CVE_A1_Growth|12_L_3,,,,,
53,15,1,102,0,10,,你刚坐下，她就爬上了你的腿，抱着不肯下来，说这里比椅子好坐。桌上的文件被她的手肘顶得歪了一片。,由她坐着，单手办公,,,亲密＋＋，倾向：脆弱，倾向：懒散,CVE_A1_F_G_20&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_2&CVE_A1_Growth|10_L_2,给她搬一把她自己的椅子来,,,照料＋，倾向：坚强,CVE_A1_F_G_12&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_3,抱下来，说等忙完再抱她,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_2,,,,,
54,15,1,102,0,10,,睡前她拉着你的袖子不放，说要你在房间里待到她睡着。可你今晚还有半份公务没处理完。,留下，公务明天早起再补,,,亲密＋＋，照料＋,CVE_A1_F_G_20&CVE_A1_Growth|20_G_4&CVE_A1_Growth|11_L_1,把公务搬到她房间里做,,,亲密＋，倾向：勤劳,CVE_A1_F_G_16&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,说好只待十分钟,,,信赖＋，倾向：坚强,CVE_A1_F_G_10&CVE_A1_X_G_3&CVE_A1_Growth|11_G_2,,,,,
55,15,1,102,0,10,self_mother_available,她跟着母亲去岗位见学，回来时脸上还挂着没消的笑，说母亲的同事夸她学得快。,让她把学到的讲一遍给你听,,,亲密＋，倾向：勤劳,CVE_A1_F_G_16&CVE_A1_Growth|10_G_4&CVE_A1_Growth|12_G_1,夸她，再夸一句她母亲,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3,提醒她别把功课落下,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_3,,,,,
56,15,1,102,0,10,self_mother_available,她今晚想跟母亲睡。话是对着你说的，说完又赶紧补一句：那明天再陪你。,笑着答应，送她过去,,,亲密＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_2&CVE_A1_Growth|12_G_2,说好，但明天要她自己睡一晚,,,倾向：坚强，信赖＋,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|11_G_3,告诉她自己的房间要自己睡,,,好感下降，倾向：坚强,CVE_A1_F_L_12&CVE_A1_Growth|11_G_4,,,,,
57,15,1,102,0,10,CVP_A1_Growth|3_GE_50,她问你今天忙不忙。你说了句还行，她立刻从背后拿出一张画，说那我们一起吃晚饭好不好。,放下手上的事，陪她吃,,,亲密＋＋，信赖＋＋,CVE_A1_F_G_22&CVE_A1_X_G_6&CVE_A1_Growth|12_G_2,让她把画留下，晚饭改天,,,好感下降，倾向：孤僻,CVE_A1_F_L_14&CVE_A1_Growth|12_L_3&CVE_A1_Growth|11_G_1,带她到办公室一起吃,,,亲密＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_2,,,,,
58,15,1,102,0,9,CVP_A1_Growth|3_GE_50,她学会了叫你的称呼之后，一天要叫上几十遍，有时候只是叫一声，然后看着你笑，什么事也没有。,每一声都应她,,,亲密＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A1_Growth|20_G_2,问她到底有什么事,,,好感小降，倾向：勤劳,CVE_A1_F_L_6&CVE_A1_Growth|10_G_2,叫回她的名字，一来一往,,,亲密＋＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_1,,,,,
59,15,1,102,0,9,CVP_A1_Growth|3_GE_50,她把你随手放在桌角的一支旧笔收进了自己的口袋。被发现时，她攥得死紧，说这个你又不常用。,就送给她了,,,亲密＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3,告诉她想要什么可以直接说,,,信赖＋＋，倾向：开放,CVE_A1_F_G_12&CVE_A1_X_G_5&CVE_A1_Growth|13_G_3,要回来，教她不能随便拿别人的东西,,,好感小降，倾向：勤劳,CVE_A1_F_L_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_1,,,,,
60,15,1,102,0,9,,你在走廊上和别的干员说话，她远远看着，一直等到你们说完才跑过来，问那个人是不是比她重要。,蹲下来，认真回答这个问题,,,信赖＋＋，亲密＋,CVE_A1_F_G_18&CVE_A1_X_G_5&CVE_A1_Growth|13_G_2,笑着揉她的头，说傻话,,,亲密＋，倾向：脆弱，倾向：羞耻,CVE_A1_F_G_14&CVE_A1_Growth|11_L_2&CVE_A1_Growth|13_L_1,告诉她大人有大人的事,,,好感下降，倾向：坚强,CVE_A1_F_L_12&CVE_A1_Growth|11_G_3&CVE_A1_Growth|12_L_1,,,,,
61,15,1,102,0,10,,她一个人跑到了没去过的区，被巡逻的干员领了回来。问她去做什么，她说想看看罗德岛到底有多大。,找个时间带她走一圈,,,亲密＋＋，倾向：开放,CVE_A1_F_G_20&CVE_A1_Growth|13_G_4&CVE_A1_Growth|12_G_1,跟她约好：想去哪要先说一声,,,信赖＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|10_G_3,严厉地告诉她不许乱跑,,,好感下降，倾向：羞耻,CVE_A1_F_L_14&CVE_A1_Growth|13_L_3&CVE_A1_Growth|11_G_1,,,,,
62,15,1,102,0,9,CVP_A1_Growth|3_GE_50,她听见干员们提起源石病，回来后一直反复问：那是会传染的吗，你会不会也生这个病。,如实告诉她，用她能懂的话,CVP_A1_X_GE_50,她还没到能承受这种实话的信赖,信赖＋＋，倾向：坚强,CVE_A1_F_G_14&CVE_A1_X_G_6&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_G_2,告诉她有罗德岛在，不用怕,,,亲密＋，倾向：脆弱,CVE_A1_F_G_16&CVE_A1_Growth|11_L_2,把话岔开,,,好感小降，倾向：羞耻,CVE_A1_F_L_8&CVE_A1_Growth|13_L_2,,,,,
63,15,1,102,0,9,,外勤队伍今天出发。她扒在舷窗边看那些人上车，看了很久，问你他们要多久才回来。,告诉她具体的天数，并陪她记下来,,,倾向：勤劳，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|10_G_3,说等他们回来，带她去接,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3,告诉她有些人可能回不来,,,倾向：坚强，好感小降,CVE_A1_F_L_6&CVE_A1_Growth|11_G_4&CVE_A1_Growth|12_L_1,,,,,
64,15,1,102,0,9,,舰船今天要移动。广播提醒全员固定物品，她抱着自己的一箱玩具站在房间中央，不知道该先固定哪一个。,陪她一件件收好绑住,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_4,让她只挑三件最重要的,,,倾向：坚强，倾向：勤劳,CVE_A1_F_G_8&CVE_A1_Growth|11_G_2&CVE_A1_Growth|10_G_3,把整箱搬到你办公室去,,,亲密＋，照料＋,CVE_A1_F_G_16&CVE_A1_Growth|20_G_3,,,,,
65,15,1,102,0,9,time_autumn,甲板上落了一层叶子。她蹲在那儿一片片捡，说要挑出最好看的那一片，捡到天都快黑了。,陪她一起挑,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3&CVE_A1_Growth|20_G_2,教她把叶子夹进书里做标本,,,倾向：勤劳，照料＋,CVE_A1_F_G_12&CVE_A1_Growth|10_G_4&CVE_A1_Growth|20_G_2,催她回去，天冷了,,,好感小降，照料＋,CVE_A1_F_L_6&CVE_A1_Growth|20_G_3,,,,,
66,15,1,102,0,9,time_winter,今年的第一场雪落在甲板上。她跑出去接了满手，回来的时候手冻得通红，掌心里那点雪早就化没了。,把她的手捂在自己手里,,,亲密＋＋，照料＋，倾向：羞耻,CVE_A1_F_G_20&CVE_A1_Growth|20_G_3&CVE_A1_Growth|11_L_1&CVE_A1_Growth|13_L_1,给她戴上手套再放她出去,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,告诉她雪是留不住的,,,倾向：坚强，好感小降,CVE_A1_F_L_5&CVE_A1_Growth|11_G_3,,,,,
67,15,1,102,0,9,time_spring,疗养庭院开始育苗，她被允许分到了一个小盆。她把土压得实实的，然后每隔半小时就跑去看一次发芽了没有。,告诉她要等，等很多天,,,倾向：勤劳，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_3&CVE_A1_Growth|10_G_4,陪她一起数日子,,,亲密＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_3&CVE_A1_Growth|12_G_1,偷偷换一盆已经发芽的给她,,,亲密＋，倾向：懒散,CVE_A1_F_G_14&CVE_A1_Growth|10_L_3,,,,,
68,15,1,102,0,9,time_summer,夏天的甲板被晒得发烫。她把水盆搬到阴影里玩了一下午，回来的时候整个人湿透了，还笑得停不下来。,先带她去换身干衣服,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,陪她再玩一会儿,,,亲密＋＋，倾向：开放,CVE_A1_F_G_20&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,让她自己把水收拾干净,,,倾向：勤劳，好感小降,CVE_A1_F_L_6&CVE_A1_Growth|10_G_4,,,,,
69,15,1,102,0,9,,医疗部这几天很忙。她跑去送水，被人客气地请了出来，回来后闷闷不乐地问：我是不是什么忙也帮不上。,给她派一件真的能做的小事,,,倾向：勤劳，信赖＋,CVE_A1_F_G_14&CVE_A1_X_G_5&CVE_A1_Growth|10_G_4,告诉她好好长大就是帮忙,,,亲密＋，倾向：脆弱,CVE_A1_F_G_16&CVE_A1_Growth|11_L_2,带她去跟医疗部道个歉,,,倾向：坚强，倾向：开放,CVE_A1_F_G_8&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_G_2,,,,,
70,15,1,102,0,9,CVP_A1_Growth|3_GE_50,她第一次跟着大人去了一趟仓储区，回来后说那里的箱子堆得比大礼堂还高，还问那些东西都是谁的。,认真讲一遍这些物资从哪来、往哪去,,,倾向：勤劳，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|10_G_4,带她再去一次，这次看仔细点,,,亲密＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3,告诉她那些都是罗德岛的，也是她的,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3&CVE_A1_Growth|11_G_1,,,,,
