cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
45,15,1,0,0,4,self_have_sibling_child,年长的那个孩子偷偷把自己的那份点心留给了她。她发现之后，两个人为了这份点心推让了半天。,再拿一份来，两个人都有,,,好感＋，对方好感＋,CVE_A1_F_G_14&CVE_A2_F_G_14&CVE_A1_Growth|20_G_2,让她收下，并说谢谢,,,倾向：热情，对方好感＋,CVE_A1_F_G_10&CVE_A1_Growth|12_G_3&CVE_A2_F_G_10,把点心切成两半,,,倾向：勤劳，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|10_G_2&CVE_A2_F_G_8,,,,,
46,15,1,0,0,4,self_have_classmate,教育区组织了一次集体活动，要两个人一组。她和另一个孩子被分到了一起，可两个人一整天没说上三句话。,给她们一件必须合作才能做完的事,,,倾向：勤劳，对方好感＋,CVE_A1_F_G_10&CVE_A1_Growth|10_G_3&CVE_A2_F_G_12,让她先开口打个招呼,,,倾向：开放，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|13_G_4&CVE_A2_F_G_8,换一组，别为难她,,,好感＋，倾向：孤僻,CVE_A1_F_G_12&CVE_A1_Growth|12_L_3,,,,,
47,15,1,0,0,4,self_have_classmate,另一个孩子病了，她把自己攒的东西装了一小包，问能不能送过去，又怕自己也被传染。,陪她一起去,,,好感＋，倾向：热情,CVE_A1_F_G_16&CVE_A1_Growth|12_G_3&CVE_A2_F_G_12,让她把东西交给医疗部转送,,,倾向：勤劳，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|10_G_3&CVE_A2_F_G_8,告诉她怕就别去,,,好感小降，倾向：孤僻,CVE_A1_F_L_10&CVE_A1_Growth|12_L_3,,,,,
48,15,1,0,0,4,self_have_classmate,她跟另一个孩子约好了一起做一件事，结果对方临时反悔。她什么也没说，自己把那件事做完了。,夸她做完了，也提一句该说的话要说,,,倾向：坚强，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_G_2,去问问对方为什么反悔,,,好感＋，对方好感－,CVE_A1_F_G_12&CVE_A2_F_L_8&CVE_A1_Growth|12_G_1,告诉她以后别指望别人,,,好感小降，倾向：孤僻,CVE_A1_F_L_10&CVE_A1_Growth|12_L_4,,,,,
49,15,1,0,0,4,self_have_sibling_child,她们几个凑在一起，商量着要给你一个惊喜。商量的声音大到隔着一道门都听得清清楚楚。,装作什么也没听见,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A2_F_G_10,推门进去，加入她们,,,好感＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_3&CVE_A2_F_G_8,提醒她们声音小一点,,,好感小降，倾向：羞耻,CVE_A1_F_L_8&CVE_A1_Growth|13_L_2&CVE_A2_F_L_5,,,,,
50,15,1,0,0,4,self_have_sibling_child,有人问她们谁最像博士。这个问题让几个孩子当场争了起来，最后谁也没能说服谁。,说她们各像一部分,,,好感＋，对方好感＋,CVE_A1_F_G_16&CVE_A1_Growth|12_G_2&CVE_A2_F_G_12,说谁也不像，她们像自己,,,倾向：坚强，倾向：开放,CVE_A1_F_G_10&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_G_2,让她们别争这个,,,好感小降，倾向：孤僻,CVE_A1_F_L_8&CVE_A1_Growth|12_L_2,,,,,
51,15,1,0,0,4,self_mother_available,有人提议拍一张三个人的照片。她站在中间，两只手一边牵一个，站定之后半天没敢动。,认真拍完，洗出来一人一张,,,好感＋＋，照料＋，倾向：羞耻,CVE_A1_F_G_22&CVE_A1_Growth|20_G_3&CVE_A1_Growth|12_G_2&CVE_A1_Growth|13_L_1,多拍几张，让她挑,,,好感＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3,拍一张就够了,,,好感小降，倾向：勤劳,CVE_A1_F_L_6&CVE_A1_Growth|10_G_2,,,,,
52,15,1,0,0,4,self_mother_available,她母亲出勤回来时带了伤。伤不重，但缠着绷带。孩子站在医疗部门口，隔着玻璃看了很久也没进去。,牵着她一起进去,,,好感＋，倾向：坚强,CVE_A1_F_G_18&CVE_A1_Growth|11_G_3&CVE_A1_Growth|12_G_1,告诉她伤没事，先带她回去,,,照料＋，倾向：脆弱,CVE_A1_F_G_12&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3,让她自己决定进不进去,,,信赖＋＋，倾向：坚强,CVE_A1_F_G_10&CVE_A1_X_G_5&CVE_A1_Growth|11_G_3,,,,,
53,15,1,0,0,4,self_mother_available,她母亲这段时间接了连着的任务，已经很多天没回来了。她把日历上的日子一天天划掉，划到今天。,带她去查一下归队的时间,,,倾向：勤劳，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|10_G_3,这几天多陪陪她,,,好感＋＋，照料＋＋,CVE_A1_F_G_20&CVE_A1_Growth|20_G_4&CVE_A1_Growth|11_L_1,告诉她干员就是这样,,,好感小降，倾向：坚强,CVE_A1_F_L_10&CVE_A1_Growth|11_G_4,,,,,
54,15,1,0,0,4,self_mother_available&CVP_A1_T|101_E_0,她问了一个不太好答的问题：为什么母亲要出去那么久，而你不用。,如实解释各人的岗位不同,,,倾向：勤劳，信赖＋＋,CVE_A1_F_G_14&CVE_A1_X_G_6&CVE_A1_Growth|10_G_3,告诉她母亲做的事更难,,,好感＋，倾向：坚强,CVE_A1_F_G_12&CVE_A1_Growth|11_G_3,把话岔开,,,好感下降，倾向：羞耻,CVE_A1_F_L_14&CVE_A1_Growth|13_L_3,,,,,
55,15,1,0,0,4,self_mother_available,母亲今天休息，把她带在身边待了一整天。晚上送回来的时候，孩子睡得很沉，手里攥着母亲的手套。,让她攥着睡,,,照料＋，倾向：脆弱，倾向：羞耻,CVE_A1_F_G_12&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3&CVE_A1_Growth|13_L_2,把手套收好，明天还回去,,,倾向：勤劳，照料＋,CVE_A1_F_G_8&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_2,跟母亲说，以后每周都留一天,,,好感＋＋，照料＋＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_4&CVE_A1_Growth|12_G_2,,,,,
56,15,1,0,0,4,self_mother_available&CVP_A1_T|101_E_0,她学着母亲的样子做了一件事——姿势、口气、连收尾的小动作都学得很像。母亲看见的时候愣了一下，什么也没说。,把这一幕告诉她母亲,,,好感＋，倾向：热情,CVE_A1_F_G_16&CVE_A1_Growth|12_G_3,夸她学得像,,,好感＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_3,告诉她不必学任何人,,,倾向：坚强，信赖＋,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|11_G_3,,,,,
57,15,1,0,0,4,self_mother_available&CVP_A1_T|101_E_0,她跟母亲闹了别扭，跑到你这里来诉苦，说了半天，最后自己先心虚了：她是不是也有道理。,顺着她的话把两边都说一遍,,,倾向：开放，信赖＋,CVE_A1_F_G_14&CVE_A1_X_G_5&CVE_A1_Growth|13_G_3,陪她回去把话说清楚,,,好感＋，倾向：坚强,CVE_A1_F_G_16&CVE_A1_Growth|11_G_3&CVE_A1_Growth|12_G_1,只听着，不评判,,,信赖＋＋，倾向：孤僻,CVE_A1_F_G_10&CVE_A1_X_G_6&CVE_A1_Growth|12_L_1,,,,,
58,15,1,0,0,4,self_mother_available,母亲要出一趟远门。走之前她把孩子交到你手上，孩子的手抓着母亲的袖口没松，一直到车都发动了。,抱起她，让她看着车走完,,,好感＋＋，倾向：坚强,CVE_A1_F_G_20&CVE_A1_Growth|11_G_3&CVE_A1_Growth|20_G_2,先带她离开，别看了,,,照料＋，倾向：脆弱,CVE_A1_F_G_12&CVE_A1_Growth|11_L_3&CVE_A1_Growth|20_G_3,让她把想说的话喊出去,,,倾向：开放，好感＋,CVE_A1_F_G_16&CVE_A1_Growth|13_G_4,,,,,
59,15,1,104,1,2,,人事那边把干员编号送来了，编号后面第一次跟上了她的名字。她把那张纸看了很久，说这上面的字看着不太真实。,亲手把工牌别在她身上,,,好感＋＋，信赖＋＋,CVE_A1_F_G_180&CVE_A1_X_G_15&CVE_A1_Growth|12_G_3,告诉她这只是个编号，人还是原来那个,,,倾向：坚强，信赖＋＋,CVE_A1_F_G_100&CVE_A1_X_G_18&CVE_A1_Growth|11_G_4,问她想去哪个部门,,,好感＋，倾向：开放,CVE_A1_F_G_120&CVE_A1_X_G_12&CVE_A1_Growth|13_G_4,,,,,
60,15,1,104,1,2,,她第一次以干员的身份来办公室报到。敲门、报名字、等你叫她进来——每一步都按规矩来，规矩得有点陌生。,也按规矩接待她一次,,,好感＋，倾向：坚强,CVE_A1_F_G_120&CVE_A1_X_G_15&CVE_A1_Growth|11_G_4,让她别站着，坐下说话,,,好感＋＋，倾向：热情,CVE_A1_F_G_180&CVE_A1_X_G_12&CVE_A1_Growth|12_G_3,先给她派了第一件任务,,,倾向：勤劳，信赖＋＋,CVE_A1_F_G_100&CVE_A1_X_G_18&CVE_A1_Growth|10_G_5,,,,,
